sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
C.hum 8 4 NA NA NA NA NA NA 53 74 118 182 NA 691737 4163135 RS50
C.hum 4 7 NA NA NA NA NA NA 134 147 160 154 NA 691438 4164625 RS54
C.hum 3 4 NA NA NA NA NA NA 20 27 55 26 NA 691435 4164652 RS57
C.hum 4 4 NA NA NA NA NA NA 68 114 214 131 NA 691435 4164693 RS59
C.hum 8 4 NA NA NA NA NA NA 92 113 96 153 NA 691342 4164740 RS64
C.hum 5 3 NA NA NA NA NA NA 75 82 178 123 NA 691352 4164671 RS68
C.hum 13 21 NA NA NA NA NA NA 66 77 194 106 NA 691347 4164609 RS70
C.hum 5 9 NA NA NA NA NA NA 77 95 170 147 NA 691476 4164152 RS74
C.hum 7 5 NA NA NA NA NA NA 87 122 216 164 NA 691470 4164190 RS78
C.hum 15 3 NA NA NA NA NA NA 61.5 76 104 147 16 691622 4162987 RS8
C.hum 2 4 NA NA NA NA NA NA 50 58 70 60 NA 691484 4164211 RS80
C.hum 9 11 NA NA NA NA NA NA 95 103 394 152 NA 690845 4162752 RS88
C.hum 6 3 NA NA NA NA NA NA 80 115 191 147 NA 691627 4162987 RS9
C.hum 8 10 NA NA NA NA NA NA 40 58 137 112 NA 690839 4162718 RS91
J.oxy 10 5 1.98 1.88 1.41 2.44 1.49 1.27 64 67 168 183 14 620450 4231313 RS358
J.oxy 18 2 2.12 1.83 1.79 1.34 1.23 NA 126 156 156 138 30 621498 4231420 RS374
J.oxy 8 4 1.66 1.24 1.23 1.91 1.69 1.67 80 81 72 74 31 621499 4231420 RS375
J.oxy 23 3 1.72 1.31 1.22 1.06 1.03 0.63 63 85 75 82 5 621499 4231420 RS375
J.oxy 4 2 1.53 1.39 0.94 2.25 1.12 NA 70 114 81 99 97 621150 4231656 RS376
J.oxy 8 1 1.68 1.39 1.38 1.98 NA NA 80 110 98 79 90 620387 4231573 RS377
J.oxy 6 4 2.31 1.9 0.92 0.92 0.76 0.55 110 154 140 102 80 620385 4231607 RS378
J.oxy 12 1 2.17 1.89 1.83 1.18 NA NA 140 176 191 157 14 620351 4231615 RS379
J.oxy 2 2 1.26 0.89 NA 1.95 1.86 NA 62 74 74 58 25 620353 4231607 RS380
J.oxy 3 1 1.15 0.94 0.69 1.06 NA NA 46 57 95 70 3 620353 4231607 RS380
J.oxy 9 4 3.98 2.22 1.86 4.27 3.91 1.73 210 265 152 156 67 620214 4231685 RS381
J.oxy 1 1 3.59 NA NA 1.32 NA NA 136 155 150 108 39 620282 4231767 RS382
J.oxy 9 3 1.97 1.73 1.42 4.58 4.17 3.61 97 113 103 118 125 620292 4231735 RS383
J.oxy 3 2 3.06 2.29 1.56 3.41 2.44 NA 125 143 118 130 NA 620305 4231742 RS384
J.oxy 7 1 1.54 1.53 1.17 1.55 NA NA 96 116 94 97 43 620307 4231748 RS385
J.oxy 6 2 1.64 1.23 1.21 2.73 0.78 NA 55 76 68 125 81 620310 4231742 RS386
J.oxy 6 1 1.57 1.54 1.32 2.75 NA NA 86 121 97 106 8 620323 4231721 RS387
J.oxy 4 1 2.44 2.08 1.14 3.41 NA NA 92 112 133 108 21 620323 4231720 RS388
J.oxy 12 5 2.11 2.14 1.53 5.09 3.84 1.63 98 120 153 134 118 620318 4231723 RS389
J.oxy 16 5 4.65 3.01 2.67 4.85 4.46 2.44 162 178 220 176 153 620276 4231883 RS393
J.oxy 11 4 1.68 1.59 1.57 2.86 2.55 2.44 90 111 115 114 54 620338 4231889 RS394
J.oxy 6 4 1.24 1.18 1.07 5.56 2.98 2.31 66 78 126 67 148 620318 4231889 RS395
J.oxy 2 1 1.23 0.49 NA 0.71 NA NA 62 74 27 49 13 620192 4231671 RS396
J.oxy 5 2 3.87 2.2 1.17 4.32 2.49 NA 160 203 128 117 74 620181 4231659 RS397
J.oxy 9 3 1.96 1.42 1.12 2.98 2.56 1.44 80 112 106 114 24 620172 4231659 RS398
J.oxy 15 7 2.82 1.45 1.28 2.98 2.51 2.27 104 128 147 150 166 608060 4251623 RS402
J.oxy 19 5 1.54 1.53 1.52 2.88 2.12 1.57 90 114 124 117 119 608058 4251619 RS403
J.oxy 4 2 2.07 1.18 1.02 1.73 1.72 NA 90 104 83 65 NA 608070 4251606 RS404
J.oxy 11 2 1.27 1.02 0.98 1.09 0.94 NA 55 57 87 126 NA 608072 4251503 RS409
