sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
P.ang 15 5 2.09 1.44 1.24 1.47 1.35 1.13 65 84 165 132 50 687901 4161997 RS183
P.ang 25 14 1.68 1.61 1.27 1.81 1.72 1.27 85 110 197 253 58 687901 4161997 RS183
P.ang 23 7 2.41 2.12 1.39 1.56 1.05 1.04 57 80 152 153 32 687894 4161974 RS187
P.ang 15 3 1.7 1.63 1.55 1.89 1.84 0.91 67 90 145 207 55 687890 4161967 RS188
P.ang 15 8 1.52 1.4 1.35 2.12 1.98 1.77 119 134 286 168 NA 691547 4162981 RS19
P.ang 4 1 2.48 1.87 1.44 1.51 NA NA 60 84 100 145 50 687897 4161964 RS190
P.ang 9 6 1.64 1.61 1.58 1.59 0.93 0.59 57 70 133 128 30 687909 4161941 RS191
P.ang 13 9 2.21 1.56 1.24 1.57 1.55 1.49 72 88 109 103 72 687909 4161941 RS191
P.ang 14 5 1.64 1.55 1.46 1.85 1.67 1.16 54 70 146 263 35 687909 4161941 RS191
P.ang 3 1 1.51 1.22 1 0.89 NA NA 48 60 99 57 15 687901 4161911 RS193
P.ang 3 4 1.22 1.02 0.58 0.96 0.79 0.78 48 62 87 101 19 687895 4161901 RS195
P.ang 13 7 1.72 1.52 1.03 2.11 1.78 1.31 87 108 153 177 66 687895 4161901 RS195
P.ang 5 2 2.29 1.77 0.81 1.37 0.35 NA 56 73 114 90 50 687902 4161864 RS199
P.ang 27 11 3.27 3.06 2.66 2.48 1.79 1.67 146 165 380 210 NA 691540 4162988 RS20
P.ang 18 5 1.15 0.93 0.91 1.71 1.23 1.02 70 87 172 107 11 691085 4163558 RS240
P.ang 21 7 0.91 0.84 0.82 0.9 0.61 0.57 50 74 172 162 9 691085 4163558 RS240
P.ang 10 5 1.46 1.22 1.12 1.07 0.86 0.79 78 93 204 152 9 691093 4163558 RS241
P.ang 7 3 1.58 0.99 0.94 0.49 0.45 0.43 42 54 148 85 13 691078 4163570 RS242
P.ang 4 2 1.35 1.23 1.04 0.78 0.43 NA 48 56 97 64 5 691080 4163574 RS243
P.ang 19 11 1.16 1.15 1.12 1.34 1.24 1.09 76 83 134 155 37 691080 4163574 RS243
P.ang 8 2 1.26 0.99 0.91 1.07 0.94 NA 65 88 117 135 11 691073 4163600 RS246
P.ang 14 6 2.12 1.09 1.09 1.1 1.05 0.84 64 80 174 82 12 691068 4163621 RS250
P.ang 19 8 2.48 1.42 1.35 2.55 2.2 1.93 122 149 193 164 68 691744 4163259 RS31
P.ang 15 9 2.06 1.98 1.85 1.36 1.31 1.11 110 136 252 258 95 690311 4163164 RS312
P.ang 9 4 0.99 0.98 0.66 0.74 0.63 0.37 43 57 56 42 18 691733 4163270 RS33
P.ang 4 5 1.36 1.14 1.06 1.21 1.03 0.82 108 120 146 234 NA 691337 4164695 RS66
P.ang 8 5 2.52 2.21 2 1.5 1.27 1.14 74 82 162 157 40 690840 4162744 RS89
P.ang 14 8 2.78 1.97 1.66 1.99 1.67 1.61 64 84 150 180 62 690840 4162728 RS90
P.ang 5 2 1.52 1.13 1.04 1.02 0.65 NA 82 96 132 175 48 690841 4162683 RS92
P.ang 5 4 2.19 0.83 0.61 1.76 0.81 0.59 92 110 101 135 38 690841 4162683 RS92
P.ang 8 4 1.85 1.34 1.16 1.76 1.74 0.81 70 82 133 135 43 690841 4162683 RS92
P.ang 11 3 1.21 1.07 0.96 2.04 1.59 0.92 95 111 171 148 96 690841 4162683 RS92
P.ang 12 4 0.99 0.7 0.65 0.68 0.58 0.52 34 42 89 66 9.5 690845 4162671 RS93
P.ang 21 7 1.33 1.2 0.78 1.82 1.29 0.91 75 93 130 185 59 690845 4162671 RS93
P.ang 9 5 1 0.88 0.76 1.99 1.46 1.03 32 39 82 58 10 690846 4162673 RS94
P.ang 10 4 1.12 1.07 0.89 2.11 1.47 1.14 65 90 115 137 98 690840 4162665 RS98
P.ang 12 8 0.89 0.84 0.81 0.62 0.54 0.46 44 56 84 69 21 690841 4162663 RS99
P.len 3 1 5.25 4.3 2.58 3.75 NA NA 127 149 165 194 NA 691664 4162974 RS1
P.len 22 7 3.53 3.13 2.72 5.92 4.98 4.51 120 148 437 407 164 687808 4161949 RS138
P.len 11 2 1.77 1.29 1.25 1.37 1.11 NA 52 71 158 161 25 687804 4161986 RS144
P.len 12 4 2.07 1.86 1.69 3.13 2.54 1.46 86 107 162 114 91 687806 4162001 RS146
P.len 12 2 2.81 2.52 2.19 1.26 1.15 NA 100 119 210 224 38 687812 4162023 RS148
P.len 11 2 2.28 2.15 1.83 1.96 1.42 NA 64 101 182 150 4 687812 4162070 RS154
P.len 28 6 2.53 2.2 1.89 2.05 1.49 1.12 60 84 160 165 25 687813 4162053 RS158
P.len 4 2 2.32 1.71 1.46 1.38 1.29 NA 60 80 95 128 26 687806 4162053 RS159
P.len 14 9 3.73 3.31 2.56 3.3 3.05 3.01 90 120 318 323 140 687903 4162059 RS171
P.len 7 1 2.59 2.44 2.31 3.01 NA NA 110 134 202 140 4 687904 4161884 RS196
P.len 6 4 2.19 1.87 1.83 1.64 1.43 0.77 93 138 192 126 16 687893 4161855 RS200
P.len 11 1 1.73 1.62 1.59 1.44 NA NA 44 49 140 173 21 691640 4163251 RS208
P.len 2 3 3.42 1.27 NA 0.99 0.86 0.39 46 56 92 91 8 691079 4163433 RS219
P.len 13 3 2.78 2.17 2.01 1.85 1.8 1.52 85 98 212 198 11 691074 4163431 RS220
P.len 16 10 5.57 5.41 4.62 5.68 4.42 4.21 135 166 306 261 115 691062 4163441 RS221
P.len 4 1 4.25 4.17 3.12 1.44 NA NA 96 109 153 144 2 691081 4163446 RS222
P.len 8 4 3.06 2.71 2.7 1.56 1.44 1.41 110 132 165 212 51 691091 4163452 RS223
P.len 8 3 2.82 2.71 1.48 2.75 2.22 1.11 130 153 188 165 156 691077 4163468 RS224
P.len 8 2 1.98 1.92 1.55 1.67 1.54 NA 90 103 173 179 49 691076 4163480 RS225
P.len 6 2 2.67 2.64 2.61 1.92 1.14 NA 100 126 212 182 74 691079 4163488 RS226
P.len 9 4 2.35 2.04 1.94 1.95 1.63 1.44 102 126 123 188 85 691082 4163485 RS227
P.len 5 5 2.26 1.84 0.98 1.53 1.42 1.27 74 83 108 82 20 691080 4163492 RS228
P.len 4 1 2.69 2.62 2.15 1.52 NA NA 110 116 158 113 11 691083 4163517 RS231
P.len 3 2 1.39 1.3 1.11 0.95 0.69 NA 38 55 84 78 4 691086 4163509 RS232
P.len 4 3 3.29 2.77 2.36 3.03 2.26 0.99 108 118 196 162 56 691079 4163527 RS233
P.len 5 1 1.41 1.41 1.18 1.42 NA NA 40 50 114 93 17 691070 4163597 RS247
P.len 5 1 1.47 1.43 1.21 1.07 NA NA 55 154 150 130 9 691166 4163399 RS255
P.len 16 5 3.22 2.66 2.43 2.54 2.49 2.03 98 118 266 298 98 691163 4163405 RS257
P.len 6 1 3.11 3 2.89 2.42 NA NA 90 111 211 232 36 691171 4163417 RS259
P.len 10 4 2.61 1.86 1.5 1.82 1.19 0.86 73 85 207 143 NA 691741 4163216 RS26
P.len 11 5 3.29 2.71 1.64 2.32 2.11 1.23 103 129 256 192 NA 691735 4163224 RS27
P.len 32 8 1.37 1.24 1.08 1.08 1.01 0.75 64 82 137 149 9 691167 4163561 RS273
P.len 25 8 2.42 4.22 2.08 1.63 1.47 1.42 60 78 128 142 20 691164 4163571 RS275
P.len 16 3 0.97 0.71 0.61 0.78 0.64 0.41 32 54 101 98 12 691164 4163606 RS278
P.len 7 3 2.35 1.7 1.61 0.68 0.62 0.61 60 84 118 160 19 691148 4163626 RS282
P.len 9 6 2.11 1.08 1.06 1.81 1.61 1.42 108 122 115 182 111 690519 4163165 RS285
P.len 15 7 2.38 1.85 1.47 1.84 1.71 1.25 100 118 222 182 74 690502 4163157 RS286
P.len 17 6 6.1 4.31 4.07 6.55 4.17 3.79 150 186 427 458 141 690480 4163162 RS288
P.len 28 13 3.2 2.61 2.48 6.28 5.98 4.54 88 107 290 266 94 690482 4163170 RS289
P.len 21 6 2.79 2.37 2.22 3.46 3.01 2.41 140 176 262 295 110 690483 4163172 RS290
P.len 14 4 2.64 2.53 2.18 5.35 3.21 2.22 100 120 282 236 87 690444 4163151 RS294
P.len 4 2 2.86 1.76 0.98 1.14 0.57 NA 100 137 182 74 7 690413 4163162 RS296
P.len 6 4 1.16 1.15 0.86 1.41 1.23 1.12 80 110 102 62 56 690411 4163153 RS299
P.len 16 9 6.13 5.94 4.89 5.11 4.83 3.76 156 166 834 518 174 691636 4162971 RS3
P.len 23 7 1.24 1.77 1.14 2.83 2.44 1.87 104 129 200 198 86 690400 4163149 RS301
P.len 3 1 2.01 1.86 1.56 1.93 NA NA 96 133 172 177 46 690398 4163170 RS302
P.len 4 3 7.71 3.85 2.37 2.2 2.03 1.75 120 142 166 268 78 690333 4163169 RS308
P.len 17 6 2.51 2.41 2.11 3.89 3.46 3.09 92 102 253 286 83 690322 4163171 RS311
P.len 8 4 2.98 2.67 2.07 2.64 2.23 1.91 106 122 144 215 38 690311 4163164 RS312
P.len 6 3 1.69 1.55 1.3 1.84 1.5 0.58 25 49 104 118 8 690283 4163159 RS314
P.len 7 9 2.49 2.21 2.17 2.05 1.53 1.49 100 120 174 149 63 620535 4231300 RS321
P.len 16 4 2.66 2.28 2.17 3.08 1.87 0.92 136 154 276 308 48 620524 4231277 RS322
P.len 2 1 3.85 1.34 NA 1.81 NA NA 110 145 163 60 3 620527 4231272 RS323
P.len 9 5 2.96 1.91 1.87 3.67 2.34 2.02 90 95 160 147 16 620587 4231295 RS324
P.len 19 10 2.73 1.82 1.75 3.11 2.72 1.88 84 92 163 136 20 620587 4231295 RS324
P.len 9 3 3.44 3.12 2.81 2.97 2.96 1.86 120 136 231 262 71 620601 4231271 RS327
P.len 10 4 1.86 1.69 1.51 2.14 2.12 1.75 70 86 158 88 60 620618 4231278 RS328
P.len 20 3 1.89 1.61 1.52 2.27 2.19 1.99 70 74 115 182 73 620620 4231280 RS329
P.len 12 6 2.35 2.16 1.64 2.99 1.94 1.71 78 91 108 112 84 620630 4231292 RS332
P.len 19 4 4.02 3.86 3.17 3.16 2.41 2.17 118 152 202 252 138 620632 4231293 RS333
P.len 51 16 5.22 2.78 2.58 3.68 3.24 3.18 150 182 337 379 151 620636 4231291 RS334
P.len 12 6 3.5 2.62 2.19 6.29 4.08 3.07 100 113 184 228 80 620667 4231282 RS337
P.len 19 10 1.92 1.92 1.65 4.36 2.57 2.23 100 107 236 192 61 620676 4231286 RS338
P.len 47 16 2.81 2.38 1.94 5.89 3.36 2.86 183 188 370 420 85 620683 4231284 RS339
P.len 8 1 2.84 2.08 2.05 0.74 NA NA 104 118 131 154 2 620533 4231243 RS342
P.len 41 12 3.07 3.04 2.49 3.79 3.31 3.17 138 156 348 388 115 620536 4231235 RS343
P.len 52 13 3.01 1.84 1.67 4.28 4.11 3.79 104 140 342 361 89 620555 4231233 RS345
P.len 31 10 3.68 3.51 3.27 3.99 3.87 3.64 180 200 410 492 6 620569 4231239 RS346
P.len 14 6 2.73 2.34 2.22 3.41 3.18 2.1 128 154 248 294 112 620588 4231223 RS349
P.len 8 5 3.55 2.71 2.24 2.87 2.52 2.39 95 119 186 93 153 691729 4163318 RS35
P.len 7 5 3.16 2.71 2.15 3.88 3.65 2.07 134 173 102 322 374 620608 4231234 RS350
P.len 26 5 2.14 1.72 1.68 3.44 3.03 2.92 108 128 316 288 8 620605 4231215 RS351
P.len 9 6 2.61 2.59 1.65 3.58 3.47 1.91 94 108 228 186 68 620622 4231221 RS352
P.len 16 5 3.72 3.26 2.84 1.76 1.43 1.41 154 172 330 367 3 620643 4231226 RS353
P.len 25 13 2.32 1.57 1.41 4.07 2.64 2.41 84 110 348 295 19 620645 4231230 RS354
P.len 11 7 3.83 3.67 3.02 1.78 1.65 1.48 140 158 324 274 8 620640 4231230 RS355
P.len 23 3 3.31 3.14 2.19 3.58 3.43 3.12 135 175 305 346 28 620685 4231247 RS356
P.len 17 5 1.22 1.16 1.11 1.98 1.63 1.23 50 68 135 108 15 620415 4231289 RS357
P.len 3 1 3.21 2.51 2.47 0.76 NA NA 93 107 202 173 NA 620484 4231264 RS359
P.len 5 3 2.38 2.16 2.07 1.08 0.77 0.57 120 157 140 150 25 621429 4231409 RS361
P.len 4 1 2.89 2.69 2.18 2.11 NA NA 114 152 217 148 4 621416 4231415 RS365
P.len 10 3 5.86 4.27 3.75 3.39 2.14 1.87 165 189 358 347 NA 621400 4231414 RS366
P.len 2 1 4.48 2.17 NA 0.97 NA NA 150 165 134 145 NA 621391 4231418 RS367
P.len 3 3 2.86 1.68 1.65 2.06 1.42 0.81 96 127 128 107 50 621386 4231358 RS370
P.len 36 8 3.93 3.54 3.42 3.37 3.23 2.14 140 165 480 495 7 621384 4231369 RS372
P.len 24 9 2.27 2.23 2.22 1.68 1.51 1.49 159 176 328 334 32 621342 4231381 RS373
P.len 18 1 2.72 2.33 2.22 2.84 NA NA 110 130 264 280 NA 608059 4251631 RS399
P.len 23 16 1.89 1.62 1.43 3.07 3.05 2.28 110 125 330 282 117 608073 4251617 RS400
P.len 13 6 1.78 1.63 1.51 2.15 2.18 1.54 70 82 206 173 NA 608070 4251604 RS405
P.len 11 3 1.92 1.87 1.46 2.77 2.29 1.76 64 69 118 136 NA 608072 4251598 RS406
P.len 29 14 3.42 2.67 2.23 4.87 3.59 2.88 130 140 425 314 110 608069 4251561 RS407
P.len 11 3 3.15 3.02 2.62 1.96 1.65 1.07 114 143 248 221 NA 608072 4251483 RS411
P.len 10 6 1.37 1.26 1.25 2.48 2.43 2.12 70 80 87 63 NA 607861 4251206 RS413
P.len 16 11 2.77 2.48 2.06 3.59 3.53 2.95 90 127 184 198 134 607843 4251237 RS419
P.len 9 5 1.65 1.49 1.38 1.97 1.86 1.53 60 76 122 102 NA 607847 4251242 RS420
P.len 16 6 3.53 2.46 1.73 3.84 3.75 3.59 96 134 160 165 NA 607860 4251258 RS421
P.len 4 5 2.56 1.55 1.48 1.94 1.83 1.45 62 70 100 73 52 607865 4251267 RS424
P.len 25 7 4.75 3.09 2.94 3.66 3.47 2.62 154 193 258 377 NA 607859 4251288 RS427
P.len 21 6 1.81 1.47 1.44 1.88 1.83 1.14 46 56 128 110 NA 607863 4251322 RS430
P.len 14 8 2.28 1.93 1.82 4.07 3.21 2.81 60 78 203 158 27 607853 4251329 RS431
P.len 26 3 1.61 1.54 1.04 1.47 1.38 1.12 72 90 140 81 NA 607856 4251342 RS432
P.len 11 7 3.16 2.77 2.65 2.73 2.66 2.52 90 108 220 214 97 609076 4250925 RS435
P.len 14 5 1.85 1.84 1.83 3.55 2.87 2.72 55 61 174 143 46 609061 4250936 RS437
P.len 15 4 1.82 1.76 1.69 3.55 3.51 2.02 64 72 130 136 NA 609036 4250932 RS439
P.len 5 2 1.34 1.21 0.91 1.94 1.82 NA 45 67 77 109 21 608997 4250928 RS445
P.len 6 1 1.42 1.28 1.26 0.96 NA NA 76 87 142 123 NA 608997 4250925 RS446
P.len 10 5 1.18 1.12 0.94 2.65 2.26 1.79 46 52 99 105 NA 608982 4250927 RS447
P.len 5 4 1.49 1.45 1 1.76 1.15 0.73 53 71 91 84 NA 608973 4250926 RS449
P.len 8 1 3.12 1.76 1.68 2.71 NA NA 84 116 183 166 NA 608952 4250941 RS451
P.len 15 1 1.57 1.28 1.23 5.18 NA NA 72 88 137 92 NA 608919 4250938 RS454
P.len 12 3 2.58 1.75 1.66 2.64 2.01 1.88 100 133 178 141 24 608957 4250943 RS455
P.len 4 1 3.37 1.86 1.78 2.73 NA NA 96 121 168 156 33 608909 4250945 RS457
P.len 4 1 2.04 2.02 1.45 2.71 NA NA 80 108 148 132 NA 608891 4250939 RS459
P.len 7 4 3.03 2.46 2.12 2.66 2.28 2.04 104 116 380 184 62 691653 4163069 RS46
P.len 12 6 3.61 2.88 2.49 2.7 2.63 1.58 96 101 197 142 82 691336 4164723 RS65
P.len 16 10 2.21 2.04 1.72 2.7 2.23 1.46 98 119 216 187 79 691352 4164671 RS68
P.len 11 9 5.65 5.61 5.15 4.01 3.63 3.57 165 197 465 510 146 691453 4164173 RS76
P.len 10 8 2.8 2.49 2.25 2.57 2.37 1.82 64 57 178 195 24 690821 4162841 RS86
P.len 11 6 2.24 1.96 1.81 2.58 1.93 1.39 56 74 203 139 77 691627 4162987 RS9
R.lyc 12 4 1.91 1.36 1.31 1.82 1.71 0.76 70 83 172 133 37 690843 4162595 RS103
R.lyc 16 7 2.48 2.18 1.81 7.22 3.75 2.17 116 135 168 163 142 690838 4162566 RS109
R.lyc 12 7 1.99 1.85 1.34 2.51 2.43 1.97 160 186 208 180 145 690652 4162507 RS114
R.lyc 9 4 2.39 2.14 1.85 2.08 1.73 1.47 68 72 154 151 47 690665 4162538 RS116
R.lyc 6 2 1.35 1.14 0.57 0.89 0.42 NA 52 75 69 85 43 690667 4162564 RS119
R.lyc 2 5 0.89 0.77 NA 1.77 1.12 1.11 20.5 23 38 85 33 691595 4162991 RS12
R.lyc 1 1 1.03 NA NA 1.32 NA NA 72 72 55 62 52 690669 4162739 RS121
R.lyc 16 2 1.96 1.91 1.59 2.84 2.53 NA 98 120 137 184 80 690658 4162685 RS124
R.lyc 7 4 1.86 1.61 1.59 3.44 2.43 2.09 90 104 127 171 139 690659 4162655 RS125
R.lyc 5 2 2.53 2.25 1.47 2.42 1.44 NA 142 167 192 196 108 691733 4163169 RS131
R.lyc 3 5 1.06 0.89 0.87 3.45 3.02 2.32 100 161 87 109 137 687808 4161949 RS138
R.lyc 3 1 1.42 0.91 0.82 1.02 NA NA 36 45.7 69 44 NA 691603 4162982 RS14
R.lyc 12 3 1.66 0.87 0.68 1.36 0.99 0.89 70 87 83 64 42 687802 4161986 RS143
R.lyc 5 5 2.59 1.72 1.68 2.65 2.5 2.24 105 119 221 103 NA 691596 4162973 RS15
R.lyc 5 1 2.5 1.44 1.18 1.14 NA NA 74 105 124 83 26 687889 4162088 RS166
R.lyc 13 11 2.66 1.89 1.64 3.55 3.51 3.47 105 138 280 223 125 687889 4162088 RS166
R.lyc 5 1 2.08 1.99 1.59 1.83 NA NA 55 75 142 120 84 687892 4162081 RS167
R.lyc 5 1 1.57 1.41 1.34 2.68 NA NA 80 82 122 75 12 687895 4162036 RS175
R.lyc 8 11 1.38 1.27 1.15 3.06 2.21 1.99 77 91 122 107 NA 691555 4162974 RS18
R.lyc 12 4 2.04 1.87 1.76 3.47 2.43 1.76 101 140 218 234 117 687889 4162010 RS181
R.lyc 12 3 2.46 2.38 2.01 3.16 2.76 2.07 115 135 221 226 90 687890 4161967 RS188
R.lyc 3 4 1.56 1.2 1.17 0.83 0.82 0.63 51.66 55 88 57 NA 691639 4162972 RS2
R.lyc 6 1 1.44 1.33 1.12 1.31 NA NA 46 54 90 94 32 691653 4163213 RS202
R.lyc 8 9 3.22 2.81 2.72 2.7 2.63 2.55 125 145 273 317 56 691650 4163214 RS204
R.lyc 4 1 1.14 1.12 0.93 1.68 NA NA 64 78 69 80 11 691646 4163246 RS207
R.lyc 10 4 1.66 1.59 1.57 1.75 1.43 1.18 90 108 134 121 12 691647 4163261 RS209
R.lyc 7 10 0.76 0.71 0.59 4.48 3.54 3.52 31 38 71 62 NA 691735 4163205 RS21
R.lyc 8 9 2.78 2.29 2.16 1.89 1.81 1.76 110 136 243 202 42 691645 4163276 RS211
R.lyc 2 1 2.17 1.97 NA 1.09 NA NA 80 95 134 128 23 691647 4163324 RS214
R.lyc 17 10 2.3 1.89 1.73 1.57 1.31 1.22 115 120 206 247 112 691643 4163342 RS215
R.lyc 16 5 1.71 1.47 1.22 1.58 1.49 0.99 50 59 128 116 25 691075 4163403 RS217
R.lyc 11 3 1.63 1.46 1.21 2.27 1.26 1.22 90 103 187 185 64 691080 4163426 RS218
R.lyc 5 3 1.66 1.48 1.37 1.47 1.34 1.02 80 93 115 101 85 691081 4163446 RS222
R.lyc 12 11 1.57 1.46 1.34 1.77 1.53 1.43 105 114 195 137 97 691079 4163488 RS226
R.lyc 14 5 2.01 1.84 1.56 3.09 2.04 1.4 100 144 144 168 140 691085 4163504 RS229
R.lyc 4 4 1.55 1.53 1.51 2.3 1.54 1.05 95 102 147 133 43 691087 4163541 RS236
R.lyc 13 4 2.26 2 1.27 2.65 2.41 1.84 132 145 206 185 163 691735 4163220 RS24
R.lyc 23 11 1.92 1.52 1.41 2.85 1.72 1.67 46 108 176 144 45 691076 4163572 RS244
R.lyc 5 8 0.92 0.84 0.67 0.97 0.31 0.28 53 58 114 83 NA 691737 4163219 RS25
R.lyc 7 3 1.58 1.53 1.42 1.94 1.12 0.48 76 90 142 207 40 691079 4163647 RS253
R.lyc 5 1 1.72 1.43 1.28 0.8 NA NA 40 56 108 82 4 691161 4163417 RS258
R.lyc 8 3 2.35 1.69 1.34 1.73 1.34 1.24 70 88 142 190 43 691171 4163509 RS261
R.lyc 14 3 1.47 1.32 1.24 1.33 1.24 1.21 70 89 173 120 62 691168 4163455 RS264
R.lyc 35 7 1.67 1.41 1.32 2.21 1.22 1.21 96 116 205 260 108 691166 4163515 RS268
R.lyc 7 3 2.53 1.4 1.05 2.42 0.63 0.45 72 102 113 99 99 691174 4163537 RS270
R.lyc 16 15 1.06 1.01 0.98 2.03 1.71 1.65 80 86 146 127 90 691174 4163611 RS279
R.lyc 9 1 0.88 0.84 0.78 0.92 NA NA 56 66 76 85 18 690502 4163157 RS286
R.lyc 10 2 2.08 1.94 1.21 2.12 0.69 NA 66 78 103 142 21 690488 4163163 RS287
R.lyc 16 8 2.04 1.93 1.2 2.75 2.57 2.33 97 112 235 224 111 691738 4163250 RS29
R.lyc 11 4 1.85 1.66 1.56 3.18 2.21 1.63 94 123 202 180 78 690453 4163159 RS291
R.lyc 8 2 1.31 1.29 1.17 0.83 0.75 NA 81 92 136 103 77 691741 4163242 RS30
R.lyc 17 10 1.63 1.31 1.27 2.11 1.97 1.92 229 136 118 134 74 691741 4163242 RS30
R.lyc 18 2 1.21 1.01 0.98 2.18 0.99 NA 45 65 94 134 28 690418 4163156 RS300
R.lyc 12 5 1.92 1.81 1.27 3.42 1.68 1.53 98 130 230 302 97 690334 4163172 RS309
R.lyc 9 6 1.91 1.82 1.42 2.27 1.96 1.67 70 96 155 126 75 690266 4163160 RS316
R.lyc 11 1 1.84 1.49 1.18 3.07 NA NA 150 167 203 198 NA 620603 4231275 RS326
R.lyc 6 5 1.35 1.16 1.14 2.23 1.29 0.63 98 112 135 58 13 620618 4231278 RS328
R.lyc 3 2 1.27 0.78 0.43 0.85 0.47 NA 90 113 74 100 73 620621 4231283 RS330
R.lyc 16 4 2.95 2.59 2.54 2.28 2.24 2.14 114 144 225 243 113 620629 4231293 RS331
R.lyc 44 20 1.82 1.43 1.32 2.52 2.01 1.91 176 201 403 430 133 620634 4231296 RS335
R.lyc 18 6 2.67 2.22 1.84 3.72 3.31 3.16 136 153 250 244 156 620627 4231291 RS336
R.lyc 14 2 1.63 1.55 1.49 2.99 2.85 NA 98 110 200 168 6 620519 4231226 RS340
R.lyc 20 6 2.05 1.69 1.68 3.44 1.37 1.35 100 125 148 167 18 620533 4231232 RS341
R.lyc 6 1 2.45 2.44 2.12 2.62 NA NA 130 146 157 108 109 620548 4231225 RS344
R.lyc 6 1 1.24 0.99 0.98 1.03 NA NA 84 89 92 57 61 620555 4231233 RS345
R.lyc 22 6 1.79 1.53 1.37 3.26 2.83 2.62 150 176 190 159 138 620569 4231239 RS346
R.lyc 13 2 1.98 1.52 1.37 4.38 3.37 NA 120 133 92 103 8 620565 4231240 RS347
R.lyc 11 3 2.28 2.22 2.15 4.25 2.55 0.74 115 145 185 157 20 620579 4231219 RS348
R.lyc 8 4 1.71 1.48 1.37 2.84 1.55 1.52 108 116 118 72 114 620415 4231289 RS357
R.lyc 23 11 3.3 2.21 2 2.74 2.63 1.96 162 171 347 353 93 691646 4163191 RS36
R.lyc 10 3 2.85 2.52 2.15 2.07 1.42 1.38 170 180 218 204 5 621429 4231409 RS361
R.lyc 2 1 1.76 1.03 NA 0.73 NA NA 130 139 84 44 3 621430 4231410 RS362
R.lyc 2 1 2.38 1.76 NA 1.56 NA NA 125 147 103 85 6 621422 4231409 RS363
R.lyc 12 2 2.51 1.32 1.12 1.41 1.38 NA 100 121 134 99 22 621415 4231420 RS364
R.lyc 10 2 3.31 3.07 2.53 3.44 2.36 NA 132 148 196 206 22 621420 4231358 RS368
R.lyc 5 2 2.84 2.52 2.45 3.91 2.05 NA 120 165 158 173 NA 621404 4231364 RS369
R.lyc 5 1 0.69 0.46 0.41 0.48 NA NA 34 42 46 23 11 621387 4231363 RS371
R.lyc 7 5 1.88 1.65 0.98 1.77 1.69 0.86 132 151 224 118 NA 691647 4163178 RS38
R.lyc 7 2 1.91 1.87 1.61 1.21 1.08 NA 102 134 145 146 NA 691651 4163167 RS39
R.lyc 7 3 2.49 2.01 1.22 1.64 1.24 0.94 98 104 120 73 NA 608071 4251621 RS401
R.lyc 19 8 1.48 1.41 1.14 1.58 1.43 1.22 80 95 158 149 NA 608072 4251557 RS408
R.lyc 17 1 1.56 1.49 1.41 1.14 NA NA 65 80 103 98 NA 608067 4251488 RS410
R.lyc 6 3 2.18 1.97 1.13 2.05 1.41 1.4 90 115 150 123 NA 608072 4251483 RS411
R.lyc 4 1 1.76 1.26 1.01 1.86 NA NA 80 120 89 106 36 607865 4251209 RS412
R.lyc 7 1 1.76 1.26 1.08 1.85 NA NA 80 108 82 62 125 607871 4251204 RS414
R.lyc 23 7 1.67 1.64 1.48 4.06 4.04 3.74 86 96 288 298 NA 607877 4251207 RS415
R.lyc 12 3 1.79 1.51 1.12 1.97 1.38 0.84 82 111 106 108 NA 607859 4251231 RS416
R.lyc 2 1 0.74 0.68 NA 0.89 NA NA 36 48 46 32 NA 607854 4251232 RS417
R.lyc 11 1 2.05 1.66 1.45 1.92 NA NA 110 140 124 92 NA 607865 4251259 RS422
R.lyc 12 1 1.74 1.71 1.47 2.12 NA NA 120 144 135 132 NA 607858 4251290 RS428
R.lyc 26 6 1.87 1.01 0.83 1.56 1.42 1.29 70 83 81 104 NA 607864 4251320 RS429
R.lyc 17 2 1.65 1.61 1.47 3.34 2.04 1.61 110 134 149 122 24 607858 4251343 RS433
R.lyc 26 4 1.44 1.43 1.26 2.56 2.14 1.93 120 148 182 193 113 609073 4250932 RS436
R.lyc 4 1 1.19 0.95 0.77 2.04 NA NA 78 88 53 42 NA 609057 4250932 RS438
R.lyc 15 6 1.73 1.28 1.22 1.74 1.13 0.91 74 100 122 148 106 609034 4250942 RS440
R.lyc 12 4 1.75 1.63 1.36 2.35 1.91 1.74 124 154 123 158 NA 609004 4250931 RS443
R.lyc 9 1 2.29 1.57 1.55 1.24 NA NA 120 143 162 146 NA 609003 4250928 RS444
R.lyc 17 5 1.82 1.77 1.47 2.89 2.47 1.99 146 172 197 213 168 608946 4250925 RS452
R.lyc 14 2 1.23 1.07 1.05 2.36 1.58 NA 114 136 131 137 19 608940 4250931 RS453
R.lyc 15 6 2.15 1.83 1.48 2.58 1.24 1.21 98 126 118 140 42 608919 4250938 RS454
R.lyc 5 1 1.74 1.32 1.09 1.36 NA NA 107 131 123 78 26 608915 4250942 RS456
R.lyc 7 2 1.72 1.58 1.34 3.05 1.98 NA 140 162 88 114 NA 608898 4250943 RS458
R.lyc 2 1 0.73 0.51 NA 0.41 NA NA 49.5 22 26 37 NA 691639 4162978 RS5
R.lyc 11 8 2.74 2.33 1.96 2.07 1.73 1.31 117 132 185 208 52 691449 4164600 RS51
