sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd name
O.lan 3 0 1.23 0.59 0.51 NA NA NA 65 68 63 77 NA NQ51
C.hum 5 0 NA NA NA NA NA NA 70 85 128 135 NA NQ51
P.ang 10 0 1.36 1.34 1.28 NA NA NA 76 84 152 131 NA NQ52
O.lan 2 0 3.98 3.27 NA NA NA NA 110 138 131 140 NA NQ52
O.lan 1 0 1.83 NA NA NA NA NA 95 95 58 53 NA NQ53
P.ang 5 0 2.08 1.57 1.56 NA NA NA 62 68 131 92 NA NQ54
P.ang 5 0 1.21 0.87 0.78 NA NA NA 71 77 103 74 NA NQ55
P.ang 2 0 1.84 1.57 NA NA NA NA 57 76 76 97 NA NQ56
O.lan 3 0 2.72 2.58 1.15 NA NA NA 140 148 193 138 NA NQ57
O.lan 3 0 1.45 1.12 0.91 NA NA NA 80 94 98 86 NA NQ58
O.lan 4 0 0.61 0.5 0.24 NA NA NA 12 16 32 24 NA NQ59
O.lan 1 0 0.51 NA NA NA NA NA 32 44 42 43 NA NQ59
O.lan 2 0 0.52 0.39 NA NA NA NA 12 32 38 32 NA NQ59
O.lan 3 0 1.27 0.83 0.67 NA NA NA 30 39 58 53 NA NQ59
O.lan 4 0 0.88 0.82 0.33 NA NA NA 28 36 60 45 NA NQ60
O.lan 6 0 0.65 0.55 0.47 NA NA NA 28 36 36 48 NA NQ60
O.lan 2 0 0.64 0.47 NA NA NA NA 32 42 43 34 NA NQ60
O.lan 2 0 0.48 0.44 NA NA NA NA 20 28 51 22 NA NQ60
O.lan 1 0 1.24 NA NA NA NA NA 51 51 36 40 NA NQ61
O.lan 3 0 1.07 1.01 0.54 NA NA NA 22 28 30 33 NA NQ61
P.len 3 0 0.77 0.41 0.28 NA NA NA 23 27 19 15 NA NQ61
P.len 1 0 0.33 NA NA NA NA NA 34 34 16 12 NA NQ61
P.ang 2 0 0.56 0.39 NA NA NA NA 60 83 48 62 NA NQ61
C.hum 12 0 NA NA NA NA NA NA 124 147 208 216 NA NQ62
P.len 2 0 0.72 0.41 NA NA NA NA 64 73 74 48 NA NQ63
C.hum 16 0 NA NA NA NA NA NA 100 122 264 192 NA NQ63
C.hum 14 0 NA NA NA NA NA NA 95 107 300 226 NA NQ64
P.len 1 0 0.39 NA NA NA NA NA 52 52 20 40 NA NQ64
P.len 2 0 0.72 0.61 NA NA NA NA 52 58 41 32 NA NQ64
O.lan 2 0 3.94 2.67 NA NA NA NA 130 146 118 111 NA NQ64
P.ang 10 0 3.92 3.42 3.11 NA NA NA 110 114 295 308 NA NQ65
