sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd name
T.art 6 0 20.83 12.86 11,52 NA NA NA 642 642 520 497 NA NQ163
T.art 1 0 14.32 NA NA NA NA NA 630 630 412 217 NA NQ163
T.art 3 2 18.13 12.27 11.75 NA NA NA 358 358 511 477 NA NQ164
T.art 2 1 22.2 10.36 NA NA NA NA 480 480 453 443 NA NQ164
T.art 3 0 13.91 11.98 4.52 NA NA NA 523 523 403 311 NA NQ165
M.sen 7 0 4.71 4.56 3.19 NA NA NA 114 178 161 165 NA NQ166
T.art 5 0 14.57 12.65 4.2 NA NA NA 613 613 580 658 NA NQ167
T.art 5 0 18.6 9.91 8.84 NA NA NA 396 396 403 480 NA NQ168
T.art 6 0 17.82 17.55 10.74 NA NA NA 456 456 416 496 NA NQ169
T.art 8 0 18.74 14.31 8.79 NA NA NA 370 370 524 458 NA NQ170
T.art 7 0 14.53 13.34 11.25 NA NA NA 450 450 453 492 NA NQ171
T.art 5 0 15.42 10.33 9.41 NA NA NA 468 468 452 451 NA NQ172
T.art 5 0 21.51 19.03 17.42 NA NA NA 650 650 505 456 NA NQ173
T.art 3 0 25.33 12.32 8.26 NA NA NA 424 424 393 470 NA NQ174
